['time', 'x', 'y', 'z']
['1731068867.19', '5285.07', '5416.41', '0.0']
['1731068867.69', '5285.2', '5416.6', '0.0']
['1731068868.19', '5285.33', '5416.79', '0.0']
['1731068868.69', '5285.46', '5416.98', '0.0']
['1731068869.19', '5285.59', '5417.17', '0.0']
['1731068869.69', '5285.72', '5417.36', '0.0']
['1731068870.19', '5285.85', '5417.55', '0.0']
['1731068870.69', '5285.98', '5417.74', '0.0']
['1731068871.19', '5286.11', '5417.93', '0.0']
['1731068871.69', '5286.24', '5418.12', '0.0']
['1731068872.19', '5286.37', '5418.31', '0.0']
['1731068872.69', '5286.5', '5418.5', '0.0']
['1731068873.19', '5286.63', '5418.69', '0.0']
['1731068873.69', '5286.76', '5418.88', '0.0']
['1731068874.2', '5286.89', '5419.07', '0.0']
['1731068874.69', '5287.02', '5419.26', '0.0']
['1731068875.2', '5287.15', '5419.45', '0.0']
['1731068875.69', '5287.28', '5419.64', '0.0']
['1731068876.19', '5287.41', '5419.83', '0.0']
['1731068876.7', '5287.54', '5420.02', '0.0']
['1731068877.2', '5287.67', '5420.21', '0.0']
['1731068877.7', '5287.8', '5420.4', '0.0']
['1731068878.2', '5287.93', '5420.59', '0.0']
['1731068878.7', '5288.06', '5420.78', '0.0']
['1731068879.2', '5288.19', '5420.97', '0.0']
['1731068879.7', '5288.32', '5421.16', '0.0']
['1731068880.2', '5288.45', '5421.35', '0.0']
['1731068880.7', '5288.58', '5421.54', '0.0']
['1731068881.2', '5288.71', '5421.73', '0.0']
['1731068881.7', '5288.84', '5421.92', '0.0']
['1731068882.2', '5288.97', '5422.11', '0.0']
['1731068882.7', '5289.1', '5422.3', '0.0']
['1731068883.2', '5289.23', '5422.49', '0.0']
['1731068883.7', '5289.36', '5422.68', '0.0']
['1731068884.2', '5289.49', '5422.87', '0.0']
['1731068884.71', '5289.62', '5423.06', '0.0']
['1731068885.21', '5289.75', '5423.25', '0.0']
['1731068885.71', '5289.88', '5423.44', '0.0']
['1731068886.21', '5290.01', '5423.63', '0.0']
['1731068886.71', '5290.14', '5423.82', '0.0']
['1731068887.21', '5290.27', '5424.01', '0.0']
['1731068887.71', '5290.4', '5424.2', '0.0']
['1731068888.21', '5290.53', '5424.39', '0.0']
['1731068888.71', '5290.66', '5424.58', '0.0']
['1731068889.21', '5290.79', '5424.77', '0.0']
['1731068889.71', '5290.92', '5424.96', '0.0']
['1731068890.21', '5291.05', '5425.15', '0.0']
['1731068890.71', '5291.18', '5425.34', '0.0']
['1731068891.21', '5291.31', '5425.53', '0.0']
['1731068891.71', '5291.44', '5425.72', '0.0']
['1731068892.21', '5291.57', '5425.91', '0.0']
['1731068892.71', '5291.7', '5426.1', '0.0']
['1731068893.21', '5291.83', '5426.29', '0.0']
['1731068893.72', '5291.96', '5426.48', '0.0']
['1731068894.21', '5292.09', '5426.67', '0.0']
['1731068894.71', '5292.22', '5426.86', '0.0']
['1731068895.22', '5292.35', '5427.05', '0.0']
['1731068895.72', '5292.48', '5427.24', '0.0']
['1731068896.22', '5292.61', '5427.43', '0.0']
['1731068896.72', '5292.74', '5427.62', '0.0']
['1731068897.22', '5292.87', '5427.81', '0.0']
['1731068897.72', '5293.0', '5428.0', '0.0']
['1731068898.22', '5293.13', '5428.19', '0.0']
['1731068898.72', '5293.26', '5428.38', '0.0']
['1731068899.22', '5293.39', '5428.57', '0.0']
['1731068899.72', '5293.52', '5428.76', '0.0']
['1731068900.22', '5293.65', '5428.95', '0.0']
['1731068900.72', '5293.78', '5429.14', '0.0']
['1731068901.22', '5293.91', '5429.33', '0.0']
['1731068901.72', '5294.04', '5429.52', '0.0']
['1731068902.22', '5294.17', '5429.71', '0.0']
['1731068902.72', '5294.3', '5429.9', '0.0']
['1731068903.22', '5294.43', '5430.09', '0.0']
['1731068903.72', '5294.56', '5430.28', '0.0']
['1731068904.22', '5294.69', '5430.47', '0.0']
['1731068904.72', '5294.82', '5430.66', '0.0']
['1731068905.23', '5294.95', '5430.85', '0.0']
['1731068905.73', '5295.08', '5431.04', '0.0']
['1731068906.23', '5295.21', '5431.23', '0.0']
['1731068906.73', '5295.34', '5431.42', '0.0']
['1731068907.23', '5295.47', '5431.61', '0.0']
['1731068907.73', '5295.6', '5431.8', '0.0']
['1731068908.23', '5295.73', '5431.99', '0.0']
['1731068908.73', '5295.86', '5432.18', '0.0']
['1731068909.23', '5295.99', '5432.37', '0.0']
['1731068909.73', '5296.12', '5432.56', '0.0']
['1731068910.23', '5296.25', '5432.75', '0.0']
['1731068910.73', '5296.38', '5432.94', '0.0']
['1731068911.23', '5296.51', '5433.13', '0.0']
['1731068911.73', '5296.64', '5433.32', '0.0']
['1731068912.23', '5296.77', '5433.51', '0.0']
['1731068912.73', '5296.9', '5433.7', '0.0']
['1731068913.23', '5297.03', '5433.89', '0.0']
['1731068913.73', '5297.16', '5434.08', '0.0']
['1731068914.24', '5297.29', '5434.27', '0.0']
['1731068914.74', '5297.42', '5434.46', '0.0']
['1731068915.24', '5297.55', '5434.65', '0.0']
['1731068915.74', '5297.68', '5434.84', '0.0']
['1731068916.24', '5297.81', '5435.03', '0.0']
['1731068916.74', '5297.94', '5435.22', '0.0']
['1731068917.24', '5298.07', '5435.41', '0.0']
['1731068917.74', '5298.2', '5435.6', '0.0']
['1731068918.24', '5298.33', '5435.79', '0.0']
['1731068918.74', '5298.46', '5435.98', '0.0']
['1731068919.24', '5298.59', '5436.17', '0.0']
['1731068919.74', '5298.72', '5436.36', '0.0']
['1731068920.24', '5298.85', '5436.55', '0.0']
['1731068920.74', '5298.98', '5436.74', '0.0']
['1731068921.24', '5299.11', '5436.93', '0.0']
['1731068921.74', '5299.24', '5437.12', '0.0']
['1731068922.24', '5299.37', '5437.31', '0.0']
['1731068922.74', '5299.5', '5437.5', '0.0']
['1731068923.25', '5299.63', '5437.69', '0.0']
['1731068923.74', '5299.76', '5437.88', '0.0']
['1731068924.25', '5299.89', '5438.07', '0.0']
['1731068924.74', '5300.02', '5438.26', '0.0']
['1731068925.25', '5300.15', '5438.45', '0.0']
['1731068925.75', '5300.28', '5438.64', '0.0']
['1731068926.25', '5300.41', '5438.83', '0.0']
['1731068926.75', '5300.54', '5439.02', '0.0']
['1731068927.25', '5300.67', '5439.21', '0.0']
['1731068927.75', '5300.8', '5439.4', '0.0']
['1731068928.25', '5300.93', '5439.59', '0.0']
['1731068928.75', '5301.06', '5439.78', '0.0']
['1731068929.25', '5301.19', '5439.97', '0.0']
['1731068929.75', '5301.32', '5440.16', '0.0']
['1731068930.25', '5301.45', '5440.35', '0.0']
['1731068930.75', '5301.58', '5440.54', '0.0']
['1731068931.25', '5301.71', '5440.73', '0.0']
['1731068931.75', '5301.84', '5440.92', '0.0']
['1731068932.25', '5301.97', '5441.11', '0.0']
['1731068932.75', '5302.1', '5441.3', '0.0']
['1731068933.25', '5302.23', '5441.49', '0.0']
['1731068933.75', '5302.36', '5441.68', '0.0']
['1731068934.25', '5302.49', '5441.87', '0.0']
['1731068934.75', '5302.62', '5442.06', '0.0']
['1731068935.26', '5302.75', '5442.25', '0.0']
['1731068935.75', '5302.88', '5442.44', '0.0']
['1731068936.26', '5303.01', '5442.63', '0.0']
['1731068936.76', '5303.14', '5442.82', '0.0']
['1731068937.26', '5303.27', '5443.01', '0.0']
['1731068937.76', '5303.4', '5443.2', '0.0']
['1731068938.26', '5303.53', '5443.39', '0.0']
['1731068938.76', '5303.66', '5443.58', '0.0']
['1731068939.26', '5303.79', '5443.77', '0.0']
['1731068939.76', '5303.92', '5443.96', '0.0']
['1731068940.26', '5304.05', '5444.15', '0.0']
['1731068940.76', '5304.18', '5444.34', '0.0']
['1731068941.26', '5304.31', '5444.53', '0.0']
['1731068941.76', '5304.44', '5444.72', '0.0']
['1731068942.26', '5304.57', '5444.91', '0.0']
['1731068942.76', '5304.7', '5445.1', '0.0']
['1731068943.26', '5304.83', '5445.29', '0.0']
['1731068943.76', '5304.96', '5445.48', '0.0']
['1731068944.26', '5305.09', '5445.67', '0.0']
['1731068944.76', '5305.22', '5445.86', '0.0']
['1731068945.26', '5305.35', '5446.05', '0.0']
['1731068945.76', '5305.48', '5446.24', '0.0']
['1731068946.26', '5305.61', '5446.43', '0.0']
['1731068946.76', '5305.74', '5446.62', '0.0']
['1731068947.26', '5305.87', '5446.81', '0.0']
['1731068947.77', '5306.0', '5447.0', '0.0']
['1731068948.27', '5306.13', '5447.19', '0.0']
['1731068948.77', '5306.26', '5447.38', '0.0']
['1731068949.27', '5306.39', '5447.57', '0.0']
['1731068949.77', '5306.52', '5447.76', '0.0']
['1731068950.27', '5306.65', '5447.95', '0.0']
['1731068950.77', '5306.78', '5448.14', '0.0']
['1731068951.27', '5306.91', '5448.33', '0.0']
['1731068951.77', '5307.04', '5448.52', '0.0']
['1731068952.27', '5307.17', '5448.71', '0.0']
['1731068952.77', '5307.3', '5448.9', '0.0']
['1731068953.27', '5307.43', '5449.09', '0.0']
['1731068953.77', '5307.56', '5449.28', '0.0']
['1731068954.27', '5307.69', '5449.47', '0.0']
['1731068954.77', '5307.82', '5449.66', '0.0']
['1731068955.27', '5307.95', '5449.85', '0.0']
['1731068955.77', '5308.08', '5450.04', '0.0']
['1731068956.28', '5308.21', '5450.23', '0.0']
['1731068956.78', '5308.34', '5450.42', '0.0']
['1731068957.28', '5308.47', '5450.61', '0.0']
['1731068957.78', '5308.6', '5450.8', '0.0']
['1731068958.28', '5308.73', '5450.99', '0.0']
['1731068958.78', '5308.86', '5451.18', '0.0']
['1731068959.28', '5308.99', '5451.37', '0.0']
['1731068959.78', '5309.12', '5451.56', '0.0']
['1731068960.28', '5309.25', '5451.75', '0.0']
['1731068960.78', '5309.38', '5451.94', '0.0']
['1731068961.28', '5309.51', '5452.13', '0.0']
['1731068961.78', '5309.64', '5452.32', '0.0']
['1731068962.28', '5309.77', '5452.51', '0.0']
['1731068962.78', '5309.9', '5452.7', '0.0']
['1731068963.28', '5310.03', '5452.89', '0.0']
['1731068963.78', '5310.16', '5453.08', '0.0']
['1731068964.28', '5310.29', '5453.27', '0.0']
['1731068964.78', '5310.42', '5453.46', '0.0']
['1731068965.29', '5310.55', '5453.65', '0.0']
['1731068965.78', '5310.68', '5453.84', '0.0']
['1731068966.29', '5310.81', '5454.03', '0.0']
['1731068966.78', '5310.94', '5454.22', '0.0']
['1731068967.29', '5311.07', '5454.41', '0.0']
['1731068967.79', '5311.2', '5454.6', '0.0']
['1731068968.29', '5311.33', '5454.79', '0.0']
['1731068968.79', '5311.46', '5454.98', '0.0']
['1731068969.29', '5311.59', '5455.17', '0.0']
['1731068969.79', '5311.72', '5455.36', '0.0']
['1731068970.29', '5311.85', '5455.55', '0.0']
['1731068970.79', '5311.98', '5455.74', '0.0']
['1731068971.29', '5312.11', '5455.93', '0.0']
['1731068971.79', '5312.24', '5456.12', '0.0']
['1731068972.29', '5312.37', '5456.31', '0.0']
['1731068972.79', '5312.5', '5456.5', '0.0']
['1731068973.29', '5312.63', '5456.69', '0.0']
['1731068973.79', '5312.76', '5456.88', '0.0']
['1731068974.29', '5312.89', '5457.07', '0.0']
['1731068974.79', '5313.02', '5457.26', '0.0']
['1731068975.29', '5313.15', '5457.45', '0.0']
['1731068975.79', '5313.28', '5457.64', '0.0']
['1731068976.29', '5313.41', '5457.83', '0.0']
['1731068976.79', '5313.54', '5458.02', '0.0']
['1731068977.29', '5313.67', '5458.21', '0.0']
['1731068977.79', '5313.8', '5458.4', '0.0']
['1731068978.3', '5313.93', '5458.59', '0.0']
['1731068978.8', '5314.06', '5458.78', '0.0']
['1731068979.3', '5314.19', '5458.97', '0.0']
['1731068979.8', '5314.32', '5459.16', '0.0']
['1731068980.3', '5314.45', '5459.35', '0.0']
['1731068980.8', '5314.58', '5459.54', '0.0']
['1731068981.3', '5314.71', '5459.73', '0.0']
['1731068981.8', '5314.84', '5459.92', '0.0']
['1731068982.3', '5314.97', '5460.11', '0.0']
['1731068982.8', '5315.1', '5460.3', '0.0']
['1731068983.3', '5315.23', '5460.49', '0.0']
['1731068983.8', '5315.36', '5460.68', '0.0']
['1731068984.3', '5315.49', '5460.87', '0.0']
['1731068984.8', '5315.62', '5461.06', '0.0']
['1731068985.3', '5315.75', '5461.25', '0.0']
['1731068985.8', '5315.88', '5461.44', '0.0']
['1731068986.3', '5316.01', '5461.63', '0.0']
['1731068986.8', '5316.14', '5461.82', '0.0']
['1731068987.3', '5316.27', '5462.01', '0.0']
['1731068987.8', '5316.4', '5462.2', '0.0']
['1731068988.3', '5316.53', '5462.39', '0.0']
['1731068988.81', '5316.66', '5462.58', '0.0']
['1731068989.31', '5316.79', '5462.77', '0.0']
['1731068989.81', '5316.92', '5462.96', '0.0']
['1731068990.31', '5317.05', '5463.15', '0.0']
['1731068990.81', '5317.18', '5463.34', '0.0']
['1731068991.31', '5317.31', '5463.53', '0.0']
['1731068991.81', '5317.44', '5463.72', '0.0']
['1731068992.31', '5317.57', '5463.91', '0.0']
['1731068992.81', '5317.7', '5464.1', '0.0']
['1731068993.31', '5317.83', '5464.29', '0.0']
['1731068993.81', '5317.96', '5464.48', '0.0']
['1731068994.31', '5318.09', '5464.67', '0.0']
['1731068994.81', '5318.22', '5464.86', '0.0']
['1731068995.31', '5318.35', '5465.05', '0.0']
['1731068995.81', '5318.48', '5465.24', '0.0']
['1731068996.31', '5318.61', '5465.43', '0.0']
['1731068996.81', '5318.74', '5465.62', '0.0']
['1731068997.31', '5318.87', '5465.81', '0.0']
['1731068997.81', '5319.0', '5466.0', '0.0']
['1731068998.31', '5319.13', '5466.19', '0.0']
['1731068998.81', '5319.26', '5466.38', '0.0']
['1731068999.31', '5319.39', '5466.57', '0.0']
['1731068999.82', '5319.52', '5466.76', '0.0']
['1731069000.32', '5319.65', '5466.95', '0.0']
['1731069000.82', '5319.78', '5467.14', '0.0']
['1731069001.32', '5319.91', '5467.33', '0.0']
['1731069001.82', '5320.04', '5467.52', '0.0']
['1731069002.32', '5320.17', '5467.71', '0.0']
['1731069002.82', '5320.3', '5467.9', '0.0']
['1731069003.32', '5320.43', '5468.09', '0.0']
['1731069003.82', '5320.56', '5468.28', '0.0']
['1731069004.32', '5320.69', '5468.47', '0.0']
['1731069004.82', '5320.82', '5468.66', '0.0']
['1731069005.32', '5320.95', '5468.85', '0.0']
['1731069005.82', '5321.08', '5469.04', '0.0']
['1731069006.32', '5321.21', '5469.23', '0.0']
['1731069006.83', '5321.34', '5469.42', '0.0']
['1731069007.32', '5321.47', '5469.61', '0.0']
['1731069007.82', '5321.6', '5469.8', '0.0']
['1731069008.32', '5321.73', '5469.99', '0.0']
['1731069008.83', '5321.86', '5470.18', '0.0']
['1731069009.33', '5321.99', '5470.37', '0.0']
['1731069009.83', '5322.12', '5470.56', '0.0']
['1731069010.33', '5322.25', '5470.75', '0.0']
['1731069010.83', '5322.38', '5470.94', '0.0']
['1731069011.33', '5322.51', '5471.13', '0.0']
['1731069011.83', '5322.64', '5471.32', '0.0']
['1731069012.33', '5322.77', '5471.51', '0.0']
['1731069012.83', '5322.9', '5471.7', '0.0']
['1731069013.33', '5323.03', '5471.89', '0.0']
['1731069013.83', '5323.16', '5472.08', '0.0']
['1731069014.33', '5323.29', '5472.27', '0.0']
['1731069014.84', '5323.42', '5472.46', '0.0']
['1731069015.33', '5323.55', '5472.65', '0.0']
['1731069015.83', '5323.68', '5472.84', '0.0']
['1731069016.33', '5323.81', '5473.03', '0.0']
['1731069016.83', '5323.94', '5473.22', '0.0']
['1731069017.34', '5324.07', '5473.41', '0.0']
['1731069017.84', '5324.2', '5473.6', '0.0']
['1731069018.34', '5324.33', '5473.79', '0.0']
['1731069018.84', '5324.46', '5473.98', '0.0']
['1731069019.34', '5324.59', '5474.17', '0.0']
['1731069019.84', '5324.72', '5474.36', '0.0']
['1731069020.34', '5324.85', '5474.55', '0.0']
['1731069020.84', '5324.98', '5474.74', '0.0']
['1731069021.34', '5325.11', '5474.93', '0.0']
['1731069021.84', '5325.24', '5475.12', '0.0']
['1731069022.34', '5325.37', '5475.31', '0.0']
['1731069022.84', '5325.5', '5475.5', '0.0']
['1731069023.34', '5325.63', '5475.69', '0.0']
['1731069023.84', '5325.76', '5475.88', '0.0']
['1731069024.34', '5325.89', '5476.07', '0.0']
['1731069024.84', '5326.02', '5476.26', '0.0']
['1731069025.35', '5326.15', '5476.45', '0.0']
['1731069025.85', '5326.28', '5476.64', '0.0']
['1731069026.35', '5326.41', '5476.83', '0.0']
['1731069026.85', '5326.54', '5477.02', '0.0']
['1731069027.35', '5326.67', '5477.21', '0.0']
['1731069027.85', '5326.8', '5477.4', '0.0']
['1731069028.35', '5326.93', '5477.59', '0.0']
['1731069028.85', '5327.06', '5477.78', '0.0']
['1731069029.35', '5327.19', '5477.97', '0.0']
['1731069029.85', '5327.32', '5478.16', '0.0']
['1731069030.35', '5327.45', '5478.35', '0.0']
['1731069030.85', '5327.58', '5478.54', '0.0']
['1731069031.35', '5327.71', '5478.73', '0.0']
['1731069031.85', '5327.84', '5478.92', '0.0']
['1731069032.35', '5327.97', '5479.11', '0.0']
['1731069032.85', '5328.1', '5479.3', '0.0']
['1731069033.35', '5328.23', '5479.49', '0.0']
['1731069033.85', '5328.36', '5479.68', '0.0']
['1731069034.35', '5328.49', '5479.87', '0.0']
['1731069034.85', '5328.62', '5480.06', '0.0']
['1731069035.35', '5328.75', '5480.25', '0.0']
['1731069035.86', '5328.88', '5480.44', '0.0']
['1731069036.36', '5329.01', '5480.63', '0.0']
['1731069036.86', '5329.14', '5480.82', '0.0']
['1731069037.36', '5329.27', '5481.01', '0.0']
['1731069037.86', '5329.4', '5481.2', '0.0']
['1731069038.36', '5329.53', '5481.39', '0.0']
['1731069038.86', '5329.66', '5481.58', '0.0']
['1731069039.36', '5329.79', '5481.77', '0.0']
['1731069039.86', '5329.92', '5481.96', '0.0']
['1731069040.36', '5330.05', '5482.15', '0.0']
['1731069040.86', '5330.18', '5482.34', '0.0']
['1731069041.36', '5330.31', '5482.53', '0.0']
['1731069041.86', '5330.44', '5482.72', '0.0']
['1731069042.36', '5330.57', '5482.91', '0.0']
['1731069042.86', '5330.7', '5483.1', '0.0']
['1731069043.36', '5330.83', '5483.29', '0.0']
['1731069043.86', '5330.96', '5483.48', '0.0']
['1731069044.36', '5331.09', '5483.67', '0.0']
['1731069044.87', '5331.22', '5483.86', '0.0']
['1731069045.37', '5331.35', '5484.05', '0.0']
['1731069045.87', '5331.48', '5484.24', '0.0']
['1731069046.37', '5331.61', '5484.43', '0.0']
['1731069046.87', '5331.74', '5484.62', '0.0']
['1731069047.37', '5331.87', '5484.81', '0.0']
['1731069047.87', '5332.0', '5485.0', '0.0']
['1731069048.37', '5332.13', '5485.19', '0.0']
['1731069048.87', '5332.26', '5485.38', '0.0']
['1731069049.37', '5332.39', '5485.57', '0.0']
['1731069049.87', '5332.52', '5485.76', '0.0']
['1731069050.37', '5332.65', '5485.95', '0.0']
['1731069050.87', '5332.78', '5486.14', '0.0']
['1731069051.37', '5332.91', '5486.33', '0.0']
['1731069051.87', '5333.04', '5486.52', '0.0']
['1731069052.37', '5333.17', '5486.71', '0.0']
['1731069052.87', '5333.3', '5486.9', '0.0']
['1731069053.37', '5333.43', '5487.09', '0.0']
['1731069053.87', '5333.56', '5487.28', '0.0']
['1731069054.38', '5333.69', '5487.47', '0.0']
['1731069054.88', '5333.82', '5487.66', '0.0']
['1731069055.38', '5333.95', '5487.85', '0.0']
['1731069055.88', '5334.08', '5488.04', '0.0']
['1731069056.38', '5334.21', '5488.23', '0.0']
['1731069056.88', '5334.34', '5488.42', '0.0']
['1731069057.38', '5334.47', '5488.61', '0.0']
['1731069057.88', '5334.6', '5488.8', '0.0']
['1731069058.38', '5334.73', '5488.99', '0.0']
['1731069058.88', '5334.86', '5489.18', '0.0']
['1731069059.38', '5334.99', '5489.37', '0.0']
['1731069059.88', '5335.12', '5489.56', '0.0']
['1731069060.38', '5335.25', '5489.75', '0.0']
['1731069060.88', '5335.38', '5489.94', '0.0']
['1731069061.38', '5335.51', '5490.13', '0.0']
['1731069061.88', '5335.64', '5490.32', '0.0']
['1731069062.38', '5335.77', '5490.51', '0.0']
['1731069062.88', '5335.9', '5490.7', '0.0']
['1731069063.39', '5336.03', '5490.89', '0.0']
['1731069063.89', '5336.16', '5491.08', '0.0']
['1731069064.39', '5336.29', '5491.27', '0.0']
['1731069064.89', '5336.42', '5491.46', '0.0']
['1731069065.39', '5336.55', '5491.65', '0.0']
['1731069065.89', '5336.68', '5491.84', '0.0']
['1731069066.39', '5336.81', '5492.03', '0.0']
['1731069066.89', '5336.94', '5492.22', '0.0']
['1731069067.39', '5337.07', '5492.41', '0.0']
['1731069067.89', '5337.2', '5492.6', '0.0']
['1731069068.39', '5337.33', '5492.79', '0.0']
['1731069068.89', '5337.46', '5492.98', '0.0']
['1731069069.39', '5337.59', '5493.17', '0.0']
['1731069069.9', '5337.72', '5493.36', '0.0']
['1731069070.4', '5337.85', '5493.55', '0.0']
['1731069070.9', '5337.98', '5493.74', '0.0']
['1731069071.4', '5338.11', '5493.93', '0.0']
['1731069071.9', '5338.24', '5494.12', '0.0']
['1731069072.4', '5338.37', '5494.31', '0.0']
['1731069072.9', '5338.5', '5494.5', '0.0']
['1731069073.4', '5338.63', '5494.69', '0.0']
['1731069073.9', '5338.76', '5494.88', '0.0']
['1731069074.4', '5338.89', '5495.07', '0.0']
['1731069074.9', '5339.02', '5495.26', '0.0']
['1731069075.4', '5339.15', '5495.45', '0.0']
['1731069075.9', '5339.28', '5495.64', '0.0']
['1731069076.4', '5339.41', '5495.83', '0.0']
['1731069076.91', '5339.54', '5496.02', '0.0']
['1731069077.4', '5339.67', '5496.21', '0.0']
['1731069077.91', '5339.8', '5496.4', '0.0']
['1731069078.41', '5339.93', '5496.59', '0.0']
['1731069078.91', '5340.06', '5496.78', '0.0']
['1731069079.41', '5340.19', '5496.97', '0.0']
['1731069079.91', '5340.32', '5497.16', '0.0']
['1731069080.41', '5340.45', '5497.35', '0.0']
